,OrderNumber,OrderDate,Customer Name Index,Channel,Currency Code,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Line Total,Total Unit Cost,Customer Names,Product Name,Region Name,county,state_code,state,type,latitude,longitude,area_code,population,households,median_income,land_area,water_area,time_zone,State
18,SO - 0009931,2014-01-01,83,Wholesale,USD,AXW291,19,13,6,6525.8,39154.8,3589.1900000000005,sanofi-ave Group,Product 13,Buckeye,Maricopa County,AZ,Arizona,City,33.37032,-112.58378,623,62138,15718,58939,1015960556,343920,America/Phoenix,Arizona
19,SO - 0009346,2014-01-01,132,Wholesale,USD,NXH382,210,13,7,1011.7,7081.900000000001,839.711,CLINIQUE Ltd,Product 13,Vallejo,Solano County,CA,California,City,38.10409,-122.25664,707,121253,41216,57028,79438815,48871171,America/Los Angeles,California
20,SO - 0002468,2014-01-01,19,Wholesale,USD,GUT930,74,5,8,1983.2,15865.6,1348.576,Roberts Company,Product 5,Diamond Bar,Los Angeles County,CA,California,City,34.02862,-117.81034,909,56897,17656,89221,38539601,13084,America/Los Angeles,California
21,SO - 0003850,2014-01-01,116,Wholesale,USD,FLR025,105,13,6,2653.2000000000003,15919.2,1485.7920000000004,Epic Group,Product 13,Huntington Beach,Orange County,CA,California,City,33.6603,-117.99923,657,201899,74460,83252,69762694,13438927,America/Los Angeles,California
22,SO - 0006279,2014-01-01,22,Distributor,USD,GUT930,331,4,7,3845.8,26920.600000000002,1538.3200000000002,SAFEWAY Ltd,Product 4,Poinciana,Polk County/Osceola County,FL,Florida,CDP,28.11873,-81.47923,863,56678,17275,39839,186162684,2719596,America/New York,Florida
23,SO - 0006313,2014-01-01,129,Export,USD,NXH382,128,16,8,1822.4,14579.2,1530.816,Sanum-Kehl Group,Product 16,Mission Viejo,Orange County,CA,California,City,33.60002,-117.672,949,97156,33483,100366,45837210,968033,America/Los Angeles,California
24,SO - 0010604,2014-01-01,95,Wholesale,USD,NXH382,1,19,11,5078.6,55864.600000000006,4113.666,Realbridge Corp,Product 19,Auburn,Lee County,AL,Alabama,City,32.60986,-85.48078,334,62059,21767,38342,152375113,2646161,America/Chicago,Alabama
25,SO - 0008840,2014-01-01,156,Distributor,USD,AXW291,535,2,7,844.2,5909.400000000001,616.266,Actavis Company,Product 2,Metairie,Jefferson Parish,LA,Louisiana,CDP,29.984090000000002,-90.15285,504,140074,59557,52421,60144259,109317,America/Chicago,Louisiana
26,SO - 0004336,2014-01-01,143,Export,USD,AXW291,654,14,9,268.0,2412.0,227.79999999999998,Mita Corp,Product 14,Chapel Hill,Durham County/Orange County,NC,North Carolina,Town,35.92812,-79.03742,919,59568,20335,62208,54861359,393225,America/New York,North Carolina
27,SO - 0005121,2014-01-01,88,Wholesale,USD,AXW291,542,30,6,5681.6,34089.600000000006,4090.752,Twitterbri Ltd,Product 30,Cambridge,Middlesex County,MA,Massachusetts,City,42.3751,-71.10561,857,110402,43801,79416,16556713,1861901,America/New York,Massachusetts
28,SO - 0010233,2014-01-01,130,Distributor,USD,AXW291,824,2,7,3899.4,27295.8,1598.754,Jayo Company,Product 2,Lancaster,Lancaster County,PA,Pennsylvania,City,40.03788,-76.30551,717,59339,21356,35313,18718450,330105,America/New York,Pennsylvania
29,SO - 0002206,2014-01-01,81,Wholesale,USD,AXW291,82,16,8,174.20000000000002,1393.6000000000001,109.74600000000001,General Company,Product 16,Encinitas,San Diego County,CA,California,City,33.03699,-117.29198,760,62930,23465,95149,48722319,3050086,America/Los Angeles,California
30,SO - 0002543,2014-01-01,114,Export,USD,FLR025,191,14,9,3644.8,32803.200000000004,2587.808,Terumo Corp,Product 14,Santa Monica,Los Angeles County,CA,California,City,34.01945,-118.49119,424,93220,46688,76580,21795228,3025,America/Los Angeles,California
31,SO - 0002921,2014-01-01,66,Wholesale,USD,AXW291,676,26,10,5875.900000000001,58759.00000000001,4289.407,Bluezoom Group,Product 26,Manchester,Hillsborough County,NH,New Hampshire,City,42.99564,-71.45479,603,110229,45145,54282,85627013,4850146,America/New York,New Hampshire
32,SO - 0003715,2014-01-01,78,Wholesale,USD,AXW291,452,26,10,1085.4,10854.0,857.4660000000001,US Ltd,Product 26,Rockford,Winnebago County/Ogle County,IL,Illinois,City,42.25884,-89.06455,815,148278,58559,38716,164382960,2627885,America/Chicago,Illinois
33,SO - 0004471,2014-01-01,82,Wholesale,USD,AXW291,356,14,12,2237.8,26853.600000000002,939.8760000000001,Accudial Company,Product 14,Augusta,Richmond County,GA,Georgia,Consolidated Government,33.36149,-82.075,706,201793,73917,39464,840008393,11042219,America/New York,Georgia
34,SO - 0004751,2014-01-01,161,Distributor,USD,NXH382,150,8,9,1172.5,10552.5,515.9,Aveda Group,Product 8,Perris,Riverside County,CA,California,City,33.78252,-117.22865,951,74971,16297,49325,81742547,284236,America/Los Angeles,California
35,SO - 0006833,2014-01-01,172,Export,USD,FLR025,701,4,7,2613.0,18291.0,2142.66,BB17 Company,Product 4,Parsippany-Troy Hills,Morris County,NJ,New Jersey,Township,40.85964,-74.42335,973,53641,19745,89385,60892028,4762327,America/New York,New Jersey
36,SO - 0008532,2014-01-01,72,Wholesale,USD,GUT930,925,5,11,938.0,10318.0,675.36,Wordware Company,Product 5,Layton,Davis County,UT,Utah,City,41.06022,-111.97105,385,74143,22209,69408,57235335,444235,America/Denver,Utah
37,SO - 0010560,2014-01-01,35,Export,USD,NXH382,528,16,6,2994.9,17969.4,2455.8179999999998,Aromaticos Company,Product 16,Louisville,Jefferson County,KY,Kentucky,City,38.25424,-85.75941,502,760026,0,0,159116437,12579358,America/New York,Kentucky
38,SO - 0003527,2014-01-02,8,Wholesale,USD,AXW291,90,18,11,1701.8,18719.8,1429.512,Amerisourc Corp,Product 18,Fremont,Alameda County,CA,California,City,37.54827,-121.98857,510,232206,72684,105355,200632984,26291597,America/Los Angeles,California
39,SO - 0003901,2014-01-02,92,Wholesale,USD,AXW291,754,25,5,1728.6000000000001,8643.0,1019.874,Yodoo Ltd,Product 25,New Rochelle,Westchester County,NY,New York,City,40.91149,-73.78235,914,79846,28279,70036,26807094,7472696,America/New York,New York
40,SO - 0001098,2014-01-02,31,Wholesale,USD,AXW291,400,30,11,1675.0,18425.0,1155.75,Golden Corp,Product 30,Capital,Sangamon County,IL,Illinois,Township,39.79106,-89.64457,217,116358,50476,49925,154319522,16272442,America/Chicago,Illinois
41,SO - 0001725,2014-01-02,143,Wholesale,USD,AXW291,460,15,8,6525.8,52206.4,2806.094,Mita Corp,Product 15,Tinley Park,Cook County/Will County,IL,Illinois,Village,41.56858,-87.80422,708,57143,21041,74215,41743331,30829,America/Chicago,Illinois
42,SO - 0002795,2014-01-02,111,Wholesale,USD,AXW291,490,26,12,3872.6,46471.2,2517.19,Buzzbean Group,Product 26,Harrison,Vigo County,IN,Indiana,Township,39.47555,-87.38835,812,51268,19760,30400,59675554,1285182,America/Indiana/Indianapolis,Indiana
43,SO - 0003310,2014-01-02,81,Distributor,USD,FLR025,207,26,10,1038.5,10385.0,529.635,General Company,Product 26,Union City,Alameda County,CA,California,City,37.59583,-122.01917,510,74494,20461,85521,50244982,0,America/Los Angeles,California
44,SO - 0004126,2014-01-02,117,Wholesale,USD,AXW291,329,14,10,3041.8,30418.0,2038.0060000000003,ALK-Abello Ltd,Product 14,Pinellas Park,Pinellas County,FL,Florida,City,27.8428,-82.69954,727,51617,20981,41494,41127042,1726564,America/New York,Florida
45,SO - 0005940,2014-01-02,69,Export,USD,GUT930,95,13,6,5212.6,31275.600000000002,2814.8040000000005,Vinte Group,Product 13,Gilroy,Santa Clara County,CA,California,City,37.00578,-121.56828,408,53231,14989,83027,41808104,26658,America/Los Angeles,California
46,SO - 0006793,2014-01-02,84,Export,USD,AXW291,587,14,10,3953.0,39530.0,3043.81,The Ltd,Product 14,Detroit,Wayne County,MI,Michigan,City,42.33143,-83.04575,313,677116,255740,25764,359360867,10667144,America/Detroit,Michigan
47,SO - 0007868,2014-01-02,144,Distributor,USD,AXW291,170,3,9,850.9,7658.099999999999,433.959,Wordpedia Ltd,Product 3,Roseville,Placer County,CA,California,City,38.75212,-121.28801,916,130269,46547,75867,111337848,3366,America/Los Angeles,California
48,SO - 0009934,2014-01-02,33,Export,USD,NXH382,923,3,11,2519.2000000000003,27711.200000000004,1058.064,Cadila Ltd,Product 3,Waco,McLennan County,TX,Texas,City,31.54933,-97.14667,254,132356,46719,33147,230561142,31850141,America/Chicago,Texas
49,SO - 000791,2014-01-02,130,Export,USD,AXW291,98,17,5,3108.8,15544.0,1896.3680000000002,Jayo Company,Product 17,Hacienda Heights,Los Angeles County,CA,California,CDP,33.99307,-117.96868,626,55179,16020,78039,28957966,18431,America/Los Angeles,California
50,SO - 0003756,2014-01-02,136,Export,USD,AXW291,442,30,10,221.1,2211.0,128.238,Bath Group,Product 30,Orland Park,Cook County/Will County,IL,Illinois,Village,41.60815,-87.85929,708,58619,22048,81453,56938629,736535,America/Chicago,Illinois
51,SO - 0004390,2014-01-02,36,Export,USD,GUT930,272,16,6,5929.5,35577.0,4209.945,Trunyx Ltd,Product 16,Waterbury (Town),New Haven County,CT,Connecticut,Town,41.5585,-73.03668,203,108802,40213,40467,73880017,1086045,America/New York,Connecticut
52,SO - 0006241,2014-01-02,124,Wholesale,USD,AXW291,869,3,10,1065.3,10653.0,628.5269999999999,Roomm Company,Product 3,College Station,Brazos County,TX,Texas,City,30.62798,-96.33441,979,107889,36175,34186,132070745,369349,America/Chicago,Texas
53,SO - 0008226,2014-01-02,121,Wholesale,USD,AXW291,747,20,11,938.0,10318.0,684.74,Tambee Company,Product 20,Huntington,Suffolk County,NY,New York,Town,40.88409,-73.37676,631,204398,69000,105451,243808665,111325968,America/New York,New York
54,SO - 0010346,2014-01-02,29,Export,USD,AXW291,272,4,5,5708.400000000001,28542.000000000004,2283.36,Voolia Ltd,Product 4,Waterbury (Town),New Haven County,CT,Connecticut,Town,41.5585,-73.03668,203,108802,40213,40467,73880017,1086045,America/New York,Connecticut
55,SO - 0004104,2014-01-02,168,Wholesale,USD,NXH382,671,23,7,3839.1,26873.7,2457.024,Podcat Corp,Product 23,Grand Forks,Grand Forks County,ND,North Dakota,City,47.92526,-97.03285,701,57011,23319,46149,69852722,488150,America/Chicago,North Dakota
56,SO - 0005545,2014-01-02,115,Wholesale,USD,AXW291,256,2,8,1098.8,8790.4,483.472,Dynazzy Company,Product 2,Manchester,Hartford County,CT,Connecticut,Town,41.77524,-72.52443,959,58007,24141,63158,70972793,720300,America/New York,Connecticut
57,SO - 0005765,2014-01-02,113,Distributor,USD,AXW291,90,13,7,5688.3,39818.1,2502.8520000000003,Talane Group,Product 13,Fremont,Alameda County,CA,California,City,37.54827,-121.98857,510,232206,72684,105355,200632984,26291597,America/Los Angeles,California
58,SO - 0006767,2014-01-02,105,Distributor,USD,GUT930,31,16,10,1983.2,19832.0,1269.248,Oozz Group,Product 16,Phoenix,Maricopa County,AZ,Arizona,City,33.44838,-112.07404,602,1563025,525610,47326,1340692038,3247104,America/Phoenix,Arizona
59,SO - 0006883,2014-01-02,175,Distributor,USD,GUT930,322,7,12,1246.2,14954.400000000001,834.9540000000001,SHISEIDO Ltd,Product 7,Palm Bay,Brevard County,FL,Florida,City,28.03446,-80.58866,321,107888,37821,43163,170217927,8124203,America/New York,Florida
60,SO - 0007017,2014-01-02,139,Distributor,USD,NXH382,787,5,9,3825.7000000000003,34431.3,2486.7050000000004,Zoomzone Corp,Product 5,Lorain,Lorain County,OH,Ohio,City,41.45282,-82.18237,440,63647,25218,35042,61313519,1228516,America/New York,Ohio
61,SO - 0007493,2014-01-02,94,Wholesale,USD,GUT930,296,18,8,2351.7000000000003,18813.600000000002,1293.4350000000002,Browsetype Corp,Product 18,Fort Lauderdale,Broward County,FL,Florida,City,26.12231,-80.14338,954,178590,73446,50778,89672308,4372775,America/New York,Florida
62,SO - 0008686,2014-01-02,146,Export,USD,NXH382,235,21,7,3189.2000000000003,22324.4,2647.036,Vimbo Company,Product 21,Greeley,Weld County,CO,Colorado,City,40.42331,-104.70913,970,100883,33774,48813,123893579,314890,America/Denver,Colorado
63,SO - 0008746,2014-01-02,128,Distributor,USD,AXW291,479,16,10,2244.5,22445.0,920.2449999999999,Cantrell Company,Product 16,Concord,Elkhart County,IN,Indiana,Township,41.65183,-85.94312,574,55462,19401,38285,92971376,1798524,America/Indiana/Indianapolis,Indiana
64,SO - 0001523,2014-01-02,82,Distributor,USD,GUT930,254,25,5,6137.2,30686.0,4234.668,Accudial Company,Product 25,Hartford,Hartford County,CT,Connecticut,City,41.76371,-72.68509,959,124006,45239,30630,45016120,1748078,America/New York,Connecticut
65,SO - 0002194,2014-01-02,159,Wholesale,USD,AXW291,339,20,7,2680.0,18760.0,1098.8,Quaxo Ltd,Product 20,Spring Hill,Hernando County,FL,Florida,CDP,28.47689,-82.52546,352,100270,39038,41308,154983928,6194314,America/New York,Florida
66,SO - 0002824,2014-01-02,150,Wholesale,USD,AXW291,45,15,8,1092.1000000000001,8736.800000000001,589.7340000000002,Zooxo Ltd,Product 15,Arden-Arcade,Sacramento County,CA,California,CDP,38.60336,-121.38005,916,92844,40602,45489,46185637,232743,America/Los Angeles,California
67,SO - 0002859,2014-01-02,12,Distributor,USD,FLR025,481,8,11,1688.4,18572.4,776.6640000000001,Realcube Company,Product 8,Evansville,Vanderburgh County,IN,Indiana,City,37.97476,-87.55585,812,119943,51271,35785,122628548,1274315,America/Chicago,Indiana
68,SO - 0003113,2014-01-02,101,Wholesale,USD,GUT930,205,25,8,1802.3,14418.4,1297.656,Feednation Corp,Product 25,Turlock,Stanislaus County,CA,California,City,37.49466,-120.84659,209,72292,23983,51401,43830795,69528,America/Los Angeles,California
69,SO - 0004190,2014-01-02,133,Wholesale,USD,AXW291,861,13,10,3946.3,39463.0,2249.391,Mydo Corp,Product 13,Atascocita,Harris County,TX,Texas,CDP,29.99883,-95.1766,832,69470,21812,84982,62552086,449664,America/Chicago,Texas
70,SO - 0004531,2014-01-02,38,Distributor,USD,AXW291,586,12,6,3932.9,23597.4,2084.4370000000004,Neutrogena Ltd,Product 12,Dearborn Heights,Wayne County,MI,Michigan,City,42.33698,-83.27326,313,56145,20646,44620,30402482,22745,America/Detroit,Michigan
71,SO - 0004734,2014-01-02,24,Distributor,USD,AXW291,752,11,9,1105.5,9949.5,486.42,Mylan Corp,Product 11,Manhattan,New York County,NY,New York,Borough,40.72833,-73.99417,212,1644518,738644,47030,59100000,28000000,America/New York,New York
72,SO - 0005505,2014-01-02,56,Wholesale,USD,GUT930,924,21,6,1802.3,10813.8,1315.6789999999999,Realpoint Corp,Product 21,Wichita Falls,Wichita County,TX,Texas,City,33.91371,-98.49339,940,104710,37200,44543,187027492,61486,America/Chicago,Texas
73,SO - 0006105,2014-01-02,38,Export,USD,AXW291,330,14,11,1896.1000000000001,20857.100000000002,777.401,Neutrogena Ltd,Product 14,Plantation,Broward County,FL,Florida,City,26.12759,-80.2331,954,92560,33208,66647,56037359,773422,America/New York,Florida
74,SO - 0007660,2014-01-02,140,Wholesale,USD,AXW291,541,27,5,2921.2000000000003,14606.000000000002,2103.264,Safecor Corp,Product 27,Brookline (CDP),Norfolk County,MA,Massachusetts,CDP,42.33176,-71.12116,857,59016,25324,95518,17508399,184972,America/New York,Massachusetts
75,SO - 0009316,2014-01-02,93,Wholesale,USD,AXW291,81,11,11,2867.6,31543.6,1319.096,Meejo Corp,Product 11,El Monte,Los Angeles County,CA,California,City,34.06862,-118.02757,626,116732,30752,38085,24766390,221652,America/Los Angeles,California
76,SO - 0009694,2014-01-02,44,Wholesale,USD,AXW291,632,14,10,911.2,9112.0,637.84,Fivechat Company,Product 14,Blue Springs,Jackson County,MO,Missouri,City,39.01695,-94.28161,816,54148,19132,63753,57890712,199618,America/Chicago,Missouri
77,SO - 0008905,2014-01-02,43,Wholesale,USD,GUT930,408,2,7,1092.1000000000001,7644.700000000001,589.7340000000002,Pacific Ltd,Product 2,Des Plaines,Cook County,IL,Illinois,City,42.03336,-87.8834,847,58677,22191,65109,37150630,379921,America/Chicago,Illinois
78,SO - 0010547,2014-01-02,107,Wholesale,USD,FLR025,956,27,7,207.70000000000002,1453.9,176.54500000000002,NCS Group,Product 27,Auburn,King County/Pierce County,WA,Washington,City,47.30377,-122.21,253,77006,27280,59347,76842195,555761,America/Los Angeles,Washington
79,SO - 0001033,2014-01-02,146,Wholesale,USD,AXW291,115,25,9,2552.7000000000003,22974.300000000003,2093.214,Vimbo Company,Product 25,Lakewood,Los Angeles County,CA,California,City,33.85363,-118.13396,562,81611,26083,79193,24394508,133056,America/Los Angeles,California
80,SO - 0007387,2014-01-02,166,Wholesale,USD,NXH382,919,26,8,938.0,7504.0,731.64,Brainspher Ltd,Product 26,Temple,Bell County,TX,Texas,City,31.09823,-97.34278,254,72277,25204,47475,181451278,12464194,America/Chicago,Texas
81,SO - 0009903,2014-01-02,11,Wholesale,USD,AXW291,618,11,11,3973.1,43704.1,3337.404,Voonyx Group,Product 11,Coon Rapids,Anoka County,MN,Minnesota,City,45.11997,-93.28773,651,62240,24111,64203,58541348,1914190,America/Chicago,Minnesota
82,SO - 0002911,2014-01-03,37,Wholesale,USD,AXW291,346,15,6,911.2,5467.200000000001,665.176,Mycone Ltd,Product 15,The Hammocks,Miami-Dade County,FL,Florida,CDP,25.67149,-80.4445,305,54833,15687,58655,20412461,571867,America/New York,Florida
83,SO - 0003775,2014-01-03,39,Distributor,USD,AXW291,149,18,12,891.1,10693.2,516.838,Kazu Corp,Product 18,Pasadena,Los Angeles County,CA,California,City,34.14778,-118.14452,626,142250,54536,72402,59524677,377058,America/Los Angeles,California
84,SO - 0004386,2014-01-03,57,Distributor,USD,AXW291,478,19,9,1045.2,9406.800000000001,418.08000000000004,Camido Company,Product 19,Clay,Hamilton County,IN,Indiana,Township,39.96548,-86.14837,317,92745,32998,103718,127146404,2813315,America/Indiana/Indianapolis,Indiana
85,SO - 0004792,2014-01-03,141,Wholesale,USD,AXW291,219,1,6,167.5,1005.0,83.75,Skinder Group,Product 1,Whittier,Los Angeles County,CA,California,City,33.97918,-118.03284,562,87438,27525,66457,37940391,40476,America/Los Angeles,California
86,SO - 0005414,2014-01-03,152,Wholesale,USD,AXW291,989,25,7,1835.8,12850.6,1413.566,Eayo Company,Product 25,Oshkosh,Winnebago County,WI,Wisconsin,City,44.02471,-88.54261,920,66555,26152,42650,69403360,2631938,America/Chicago,Wisconsin
87,SO - 0005609,2014-01-03,58,Distributor,USD,AXW291,130,10,7,3966.4,27764.8,1903.872,Ozu Ltd,Product 10,Montebello,Los Angeles County,CA,California,City,34.00944,-118.10528,323,63921,19816,45875,21579670,104151,America/Los Angeles,California
88,SO - 0006308,2014-01-03,78,Wholesale,USD,AXW291,29,28,8,214.4,1715.2,124.35199999999999,US Ltd,Product 28,Mesa,Maricopa County,AZ,Arizona,City,33.42227,-111.82264,480,471825,168914,48809,357097953,1950781,America/Phoenix,Arizona
89,SO - 0006534,2014-01-03,151,Distributor,USD,AXW291,344,15,9,5152.3,46370.700000000004,3709.656,Snaptags Ltd,Product 15,Tamiami,Miami-Dade County,FL,Florida,CDP,25.75871,-80.39839,305,57123,16085,46449,18250601,985214,America/New York,Florida
90,SO - 0007139,2014-01-03,159,Wholesale,USD,AXW291,545,2,6,2418.7000000000003,14512.2,1910.7730000000004,Quaxo Ltd,Product 2,Framingham,Middlesex County,MA,Massachusetts,Town,42.30791,-71.4362,774,71209,27028,68219,64865527,3789373,America/New York,Massachusetts
91,SO - 0001045,2014-01-03,85,Export,USD,NXH382,919,30,12,1125.6000000000001,13507.2,529.032,Lazzy Group,Product 30,Temple,Bell County,TX,Texas,City,31.09823,-97.34278,254,72277,25204,47475,181451278,12464194,America/Chicago,Texas
92,SO - 0002195,2014-01-03,37,Wholesale,USD,AXW291,536,15,7,1675.0,11725.0,686.75,Mycone Ltd,Product 15,New Orleans,Orleans Parish,LA,Louisiana,City,29.95465,-90.07507,504,389617,153140,36792,438799508,467299606,America/Chicago,Louisiana
93,SO - 0002314,2014-01-03,29,Wholesale,USD,GUT930,405,14,5,6304.7,31523.5,2774.0679999999998,Voolia Ltd,Product 14,Cicero (Township),Cook County,IL,Illinois,Township,41.84454,-87.75929,708,83886,21721,41866,15190700,0,America/Chicago,Illinois
94,SO - 0004070,2014-01-03,39,Distributor,USD,NXH382,844,19,6,2646.5,15879.0,1243.855,Kazu Corp,Product 19,Sioux Falls,Minnehaha County/Lincoln County,SD,South Dakota,City,43.53834,-96.732,605,171544,65538,52494,195275757,1354349,America/Chicago,South Dakota
95,SO - 0006097,2014-01-03,155,Wholesale,USD,NXH382,823,25,8,2010.0,16080.0,1386.8999999999999,Zoomdog Corp,Product 25,Erie,Erie County,PA,Pennsylvania,City,42.12922,-80.08506,814,99475,41131,34253,49558861,404131,America/New York,Pennsylvania
96,SO - 0010022,2014-01-03,100,Wholesale,USD,AXW291,670,2,5,247.9,1239.5,185.925,Aibox Company,Product 2,Fargo,Cass County,ND,North Dakota,City,46.87719,-96.7898,701,118523,49962,46175,127714801,0,America/Chicago,North Dakota
97,SO - 0010373,2014-01-03,115,Wholesale,USD,AXW291,719,25,10,3906.1,39061.0,2695.209,Dynazzy Company,Product 25,Santa Fe,Santa Fe County,NM,New Mexico,City,35.68698,-105.9378,505,84099,35592,50737,135094735,484399,America/Denver,New Mexico
98,SO - 0009496,2014-01-03,19,Distributor,USD,GUT930,992,25,6,5386.8,32320.800000000003,3070.4759999999997,Roberts Company,Product 25,West Allis,Milwaukee County,WI,Wisconsin,City,43.01668,-88.00703,414,60620,27457,45221,29480532,60789,America/Chicago,Wisconsin
99,SO - 0010605,2014-01-03,22,Wholesale,USD,NXH382,339,5,5,1065.3,5326.5,543.303,SAFEWAY Ltd,Product 5,Spring Hill,Hernando County,FL,Florida,CDP,28.47689,-82.52546,352,100270,39038,41308,154983928,6194314,America/New York,Florida
100,SO - 000717,2014-01-03,58,Wholesale,USD,AXW291,493,22,5,2291.4,11457.0,1581.066,Ozu Ltd,Product 22,Knight,Vanderburgh County,IN,Indiana,Township,37.96821,-87.49674,812,68081,28952,38154,88551836,1557717,America/Chicago,Indiana
101,SO - 0002802,2014-01-03,60,Distributor,USD,AXW291,411,25,7,2559.4,17915.8,1612.422,BTA Corp,Product 25,Du Page,Will County,IL,Illinois,Township,41.68366,-88.08834,630,88783,27285,76058,93921849,1300802,America/Chicago,Illinois
102,SO - 0003853,2014-01-03,113,Distributor,USD,NXH382,692,3,9,1809.0,16281.0,1338.66,Talane Group,Product 3,Jackson,Ocean County,NJ,New Jersey,Township,40.0908,-74.36126,848,56416,20131,84871,256852907,3574864,America/New York,New Jersey
